skill_id,name,advice,next_steps
beachvolley:fingerslag,Pase de dedos,Mantén la muñeca recta y los dedos juntos.|Golpea el balón con las yemas de los dedos para mejor control.|Sigue el movimiento del golpe para dar al balón la dirección correcta.|Practica colocar el balón exactamente donde quieres.,Practica pases de dedos contra la pared 50 veces al día.|Fílmate de frente y de atrás y compara.|Practica con compañero: intercambia pases de dedos 10 en fila sin dejar caer.|Concéntrate en el movimiento de la muñeca en la próxima sesión.
beachvolley:bagger,Voleo bajo (antebrazos),Usa todo el brazo para crear potencia.|Mantén la muñeca relajada para mejor sensación.|Golpea el balón frente al cuerpo.|Concéntrate en pasar el balón sobre la red con precisión.,Practica voleo bajo contra la pared con tempo constante.|Entrena el trabajo de pies – posiciónate bien antes del golpe.|Practica con compañero: saque–voleo bajo 20 en fila.|Trabaja el ángulo del brazo en el contacto.
beachvolley:underarmsserve,Saque por abajo,"Párate con los pies a la anchura de los hombros.|Golpea el balón con el antebrazo, no con la mano.|Mantén el balón quieto antes del saque.|Practica variar la dirección y velocidad del saque.",Practica la precisión del saque: apunta a zonas específicas.|Varía la potencia – entrena tanto baja como alta velocidad.|Fílmate el saque desde el lado para verificar la posición del cuerpo.|Practica 20 saques en fila con técnica consistente.
beachvolley:overarmsserve,Saque por arriba,Lanza el balón hacia arriba y golpéalo cuando cae.|Usa todo el cuerpo para generar potencia.|Mantén los ojos en el balón todo el tiempo.|Practica golpear el balón en el centro para mejor control.,Practica el lanzamiento por separado – altura y posición consistentes.|Concéntrate en la rotación de cadera para más potencia.|Entrena variando la dirección (cruzado/línea).|Fílmate desde el lado – verifica la altura del codo.
beachvolley:spike,Remate,Salta alto y estira el brazo completamente.|Contacta el balón frente a la frente.|Usa la muñeca para dirigir el balón.|Sigue el movimiento del golpe para máxima potencia.,Practica la aproximación – aproximación de 3 pasos hasta que salga bien.|Entrena el salto por separado para construir explosividad.|Practica el remate con red sin oposición.|Fílmate de frente – verifica la altura del contacto.
beachvolley:alternativa-anfall,Ataques alternativos,Varía tus ataques para sorprender al rival.|Practica diferentes tipos de golpes como el toque y el rodado.|Usa el cuerpo para crear ángulos.|Comunícate con tu compañero sobre qué ataque vas a hacer.,"Practica toque y rodado 10 veces cada uno por entrenamiento.|Entrena la toma de decisión tardía en el salto.|Practica con compañero: el bloqueador elige el lado, el atacante se adapta.|Fílmate de perfil – verifica qué tan bien ocultas la intención de ataque."
beachvolley:block,Bloqueo,Salta al mismo tiempo que el rival.|Mantén los brazos rectos y las manos juntas.|Lee la intención del rival.|Bloquea el balón recto hacia arriba para ayudar a tu compañero.,Practica el timing del bloqueo con un compañero que remata.|Entrena leer la dirección del hombro del rival.|Practica aterrizar de forma estable e ir inmediatamente a la siguiente posición.|Fílmate de frente – verifica la posición de las manos en el contacto.
beachvolley:blockback,Bloqueo hacia atrás,Gira el cuerpo para alcanzar el balón detrás de ti.|Usa ambas manos para mejor control.|Salta alto y estírate.|Practica el timing para llegar a tiempo.,Practica la rotación y el estiramiento sin balón.|Entrena el bloqueo hacia atrás con saque lento del compañero.|Trabaja en el aterrizaje – equilibrio directo tras el salto.|Fílmate por detrás – verifica el alcance completo de la rotación.
beachvolley:servemottag,Recepción del saque,Ponte en posición con las rodillas dobladas.|Mueve los pies rápido para alcanzar el balón.|Usa la mano plana para mejor control.|Pasa el balón alto y preciso a tu compañero.,"Practica la precisión de la recepción – apunta a una zona específica.|Entrena la velocidad de reacción con saques de distintas direcciones.|Practica ""posición de voleo bajo"" como posición base.|Fílmate de frente durante el partido para analizar las decisiones."
beachvolley:hoppfloat,Saque flotante en salto,Salta alto y golpea el balón con las yemas de los dedos.|Mantén la muñeca recta.|Crea un movimiento flotante.|Practica colocar el balón exactamente.,Practica el movimiento flotante de pie en el suelo primero.|Entrena la aproximación + salto sin balón.|Practica la precisión: apunta a campos específicos.|Fílmate el saque desde el lado para verificar la altura del salto.
